query,respond,type
具体说--具体说明,语法错误，存在无效符号“-”,7
梗--牛头梗,语法错误，存在无效符号“-”,7
应该说--w应该说,语法错误，存在无效符号“-”,7
固然^^从而,语法错误，存在无效符号“^”,7
合理的--合理的，,语法错误，存在无效符号“-”,7
回回--[代+马+回+个+和+一+了+是+】+“+期+、]回回,语法错误，存在无效符号“-”,7
回回--[代 马 回 个 和 一 了 是 】 “ 期 、]回回,语法错误，存在无效符号“-”,7
他一个*。--他一个n,语法错误，存在无效符号“-”,7
n机^^n,语法错误，存在无效符号“^”,7
穿n--穿上,语法错误，存在无效符号“-”,7
你一个*？--你一个n？,语法错误，存在无效符号“-”,7
把--把[、+，+。+！+……+？],语法错误，存在无效符号“-”,7
把--把[、 ， 。 ！ …… ？],语法错误，存在无效符号“-”,7
对/p--面对,语法错误，存在无效符号“-”,7
连^^都,语法错误，存在无效符号“^”,7
v昏头了--是昏头了,语法错误，存在无效符号“-”,7
跑v--到,语法错误，存在无效符号“-”,7
情感^^n情感,语法错误，存在无效符号“^”,7
仿佛可--仿佛可以,语法错误，存在无效符号“-”,7
也许实在--实在的,语法错误，存在无效符号“-”,7
一~一个--唯一,语法错误，存在无效符号“-”,7
s+v着.--在s+v着,语法错误，存在无效符号“-”,7
s v着.--在s v着,语法错误，存在无效符号“-”,7
确切说--确切说明,语法错误，存在无效符号“-”,7
或许应--或许应了,语法错误，存在无效符号“-”,7
v强了--变强了,语法错误，存在无效符号“-”,7
一定要^^！,语法错误，存在无效符号“^”,7
不可^^非得,语法错误，存在无效符号“^”,7
w或许他--或许他们,语法错误，存在无效符号“-”,7
几--几乎,语法错误，存在无效符号“-”,7
还没a^^比,语法错误，存在无效符号“^”,7
也许*根本--根本上,语法错误，存在无效符号“-”,7
v清醒了--该清醒了,语法错误，存在无效符号“-”,7
一+辆+n--一 辆 车,语法错误，存在无效符号“-”,7
一 辆 n--一 辆 车,语法错误，存在无效符号“-”,7
恐怕非v--并非,语法错误，存在无效符号“-”,7
闪耀--闪耀的,语法错误，存在无效符号“-”,7
像n--图像,语法错误，存在无效符号“-”,7
m手n--千手观音,语法错误，存在无效符号“-”,7
回回--[的+代+马+回+个+和+一+了+是+】+“+期+、]回回,语法错误，存在无效符号“-”,7
回回--[的 代 马 回 个 和 一 了 是 】 “ 期 、]回回,语法错误，存在无效符号“-”,7
告诉你--w告诉你w,语法错误，存在无效符号“-”,7
v香了--可香了,语法错误，存在无效符号“-”,7
即刻^^反而,语法错误，存在无效符号“^”,7
或许*啊？--嗯嗯,语法错误，存在无效符号“-”,7
高企--高企业,语法错误，存在无效符号“-”,7
称--称为,语法错误，存在无效符号“-”,7
李宇春^^男,语法错误，存在无效符号“^”,7
情感^^情感v,语法错误，存在无效符号“^”,7
举例说^^w举例说,语法错误，存在无效符号“^”,7
v凶了--可凶了,语法错误，存在无效符号“-”,7
大概[v+n+m+q]^^大概[v+n+m+q],语法错误，存在无效符号“^”,7
大概[v n m q]^^大概[v n m q],语法错误，存在无效符号“^”,7
循--循着,语法错误，存在无效符号“-”,7
是从^^来看,语法错误，存在无效符号“^”,7
大概可--大概可以,语法错误，存在无效符号“-”,7
w这样说^^这样说来,语法错误，存在无效符号“^”,7
说心里话--w说心里话,语法错误，存在无效符号“-”,7
v*爱好/n--爱好和平,语法错误，存在无效符号“-”,7
杀”--杀”出,语法错误，存在无效符号“-”,7
其--其实+其次,语法错误，存在无效符号“-”,7
其--其实 其次,语法错误，存在无效符号“-”,7
或许*竟--竟然,语法错误，存在无效符号“-”,7
认为^^不,语法错误，存在无效符号“^”,7
n校--校园,语法错误，存在无效符号“-”,7
也许*非v--并非,语法错误，存在无效符号“-”,7
.手/n+[n+v+a]--左手,语法错误，存在无效符号“-”,7
.手/n [n v a]--左手,语法错误，存在无效符号“-”,7
该~了--应,语法错误，存在无效符号“-”,7
n好v--n好[有+想+让],语法错误，存在无效符号“-”,7
n好v--n好[有 想 让],语法错误，存在无效符号“-”,7
有被*到^^有被~到,语法错误，存在无效符号“^”,7
即刻^^要是,语法错误，存在无效符号“^”,7
红^^红,语法错误，存在无效符号“^”,7
操..心--操碎了心,语法错误，存在无效符号“-”,7
浅^^一下,语法错误，存在无效符号“^”,7
酸--盐酸,语法错误，存在无效符号“-”,7
我一个*；--我一个n,语法错误，存在无效符号“-”,7
随即^^那么,语法错误，存在无效符号“^”,7
下降--向,语法错误，存在无效符号“-”,7
过过--[过过 过过过过]过过,语法错误，存在无效符号“-”,7
整个一--整个一个,语法错误，存在无效符号“-”,7
这么^^那么,语法错误，存在无效符号“^”,7
大概*竟--竟然,语法错误，存在无效符号“-”,7
控--控制,语法错误，存在无效符号“-”,7
n+爱好/n--爱好和平,语法错误，存在无效符号“-”,7
n 爱好/n--爱好和平,语法错误，存在无效符号“-”,7
她们一个*。--她们一个n,语法错误，存在无效符号“-”,7
一.是一--一定是一,语法错误，存在无效符号“-”,7
二小时--十二小时,语法错误，存在无效符号“-”,7
涫--乐涫,语法错误，存在无效符号“-”,7
看来n^^啊,语法错误，存在无效符号“^”,7
v高兴了--可高兴了,语法错误，存在无效符号“-”,7
一路顺风^^你,语法错误，存在无效符号“^”,7
v全面了--要全面了,语法错误，存在无效符号“-”,7
千./d^^千万,语法错误，存在无效符号“^”,7
知道--知道。,语法错误，存在无效符号“-”,7
../n人--人家,语法错误，存在无效符号“-”,7
根./d^^根本,语法错误，存在无效符号“^”,7
一..便--方便,语法错误，存在无效符号“-”,7
随即^^还,语法错误，存在无效符号“^”,7
还好--还好意思,语法错误，存在无效符号“-”,7
a+的+爱好/n--爱好和平,语法错误，存在无效符号“-”,7
a 的 爱好/n--爱好和平,语法错误，存在无效符号“-”,7
土豪^^v土豪,语法错误，存在无效符号“^”,7
抽抽--张抽抽,语法错误，存在无效符号“-”,7
去--去w,语法错误，存在无效符号“-”,7
日渐^^日渐V,语法错误，存在无效符号“^”,7
；f+v+着--；f v 着 的,语法错误，存在无效符号“-”,7
；f v 着--；f v 着 的,语法错误，存在无效符号“-”,7
讲实话--w讲实话,语法错误，存在无效符号“-”,7
一定^^一定努,语法错误，存在无效符号“^”,7
总体上说^^从总体上说,语法错误，存在无效符号“^”,7
谁都v不了^^谁都走不了,语法错误，存在无效符号“^”,7
m季--季度,语法错误，存在无效符号“-”,7
其v--尤其,语法错误，存在无效符号“-”,7
谁都v不了^^谁都帮不了,语法错误，存在无效符号“^”,7
似乎未免--在说,语法错误，存在无效符号“-”,7
以至--以至于,语法错误，存在无效符号“-”,7
一个n^^他们一个n,语法错误，存在无效符号“^”,7
有意--有意思,语法错误，存在无效符号“-”,7
有着^^有着,语法错误，存在无效符号“^”,7
干n--干妈,语法错误，存在无效符号“-”,7
v的v^^万,语法错误，存在无效符号“^”,7
闪动--闪动的,语法错误，存在无效符号“-”,7
你[这+个+这个]n--你这样子,语法错误，存在无效符号“-”,7
你[这 个 这个]n--你这样子,语法错误，存在无效符号“-”,7
v俗了--是俗了,语法错误，存在无效符号“-”,7
如果一^^呢,语法错误，存在无效符号“^”,7
m领--一些领,语法错误，存在无效符号“-”,7
谁都v不了^^谁都管不了,语法错误，存在无效符号“^”,7
该n*此n--因此,语法错误，存在无效符号“-”,7
恐怕难免--。,语法错误，存在无效符号“-”,7
a的眼神^^阴,语法错误，存在无效符号“^”,7
该*恐怕--应该,语法错误，存在无效符号“-”,7
要我说--要我说什么,语法错误，存在无效符号“-”,7
v瘦了--变瘦了,语法错误，存在无效符号“-”,7
w我很a+w^^，我很a+w,语法错误，存在无效符号“^”,7
w我很a w^^，我很a w,语法错误，存在无效符号“^”,7
r在哪里v--该在哪里,语法错误，存在无效符号“-”,7
m克n--￥,语法错误，存在无效符号“-”,7
最+n--最../f,语法错误，存在无效符号“-”,7
最 n--最../f,语法错误，存在无效符号“-”,7
V得慌^^饿,语法错误，存在无效符号“^”,7
一哭--哭。,语法错误，存在无效符号“-”,7
一个n^^他一个n,语法错误，存在无效符号“^”,7
满地n--满地姐,语法错误，存在无效符号“-”,7
仿佛*绝对--绝对的,语法错误，存在无效符号“-”,7
一张^^照片,语法错误，存在无效符号“^”,7
告诉你们^^w告诉你们w,语法错误，存在无效符号“^”,7
怎么V--怎么回事,语法错误，存在无效符号“-”,7
对不起^^真,语法错误，存在无效符号“^”,7
[没+没有]过过--[年+从+从来+节+久][没+没有]过过,语法错误，存在无效符号“-”,7
[没 没有]过过--[年 从 从来 节 久][没 没有]过过,语法错误，存在无效符号“-”,7
俩--r俩,语法错误，存在无效符号“-”,7
有V过--没有V过,语法错误，存在无效符号“-”,7
好像可--好像可以,语法错误，存在无效符号“-”,7
v过头了--是过头了,语法错误，存在无效符号“-”,7
呷/v--呷哺,语法错误，存在无效符号“-”,7
口味--[n a 的 v]口味,语法错误，存在无效符号“-”,7
一定^^一定再,语法错误，存在无效符号“^”,7
谁都v不了^^谁都控制不了,语法错误，存在无效符号“^”,7
出了在^^,语法错误，存在无效符号“^”,7
谁知^^不要紧,语法错误，存在无效符号“^”,7
../v觉悟--提高觉悟,语法错误，存在无效符号“-”,7
v崩了--要崩了,语法错误，存在无效符号“-”,7
v死了--v死了w,语法错误，存在无效符号“-”,7
大概*只得--工具,语法错误，存在无效符号“-”,7
将--将来,语法错误，存在无效符号“-”,7
白皑皑--白皑皑的,语法错误，存在无效符号“-”,7
她一个*？--她一个n,语法错误，存在无效符号“-”,7
v厌烦了--感到厌烦,语法错误，存在无效符号“-”,7
为啥你^^呢,语法错误，存在无效符号“^”,7
总体上讲^^从总体上讲,语法错误，存在无效符号“^”,7
v勤快了--可勤快了,语法错误，存在无效符号“-”,7
大姐--大姐姐,语法错误，存在无效符号“-”,7
当即^^以致,语法错误，存在无效符号“^”,7
怎么--怎么了,语法错误，存在无效符号“-”,7
减少--。,语法错误，存在无效符号“-”,7
啊，--是啊,语法错误，存在无效符号“-”,7
v个v^^有个,语法错误，存在无效符号“^”,7
太好了n^^太好了哥,语法错误，存在无效符号“^”,7
我一个--我一个人,语法错误，存在无效符号“-”,7
n饭店--饭店＂--,语法错误，存在无效符号“-”,7
告诉你们--w告诉你们w,语法错误，存在无效符号“-”,7
尚且^^还,语法错误，存在无效符号“^”,7
说心里话^^w说心里话,语法错误，存在无效符号“^”,7
何./d^^何必,语法错误，存在无效符号“^”,7
够^^够,语法错误，存在无效符号“^”,7
v清楚了--可清楚了,语法错误，存在无效符号“-”,7
将*进行到底--将革命战争进行到底,语法错误，存在无效符号“-”,7
好像*必然是--好像貌似,语法错误，存在无效符号“-”,7
他一个*！--他一个n,语法错误，存在无效符号“-”,7
我一个*！--我一个n,语法错误，存在无效符号“-”,7
../n+控--控制,语法错误，存在无效符号“-”,7
../n 控--控制,语法错误，存在无效符号“-”,7
或许*非v--并非,语法错误，存在无效符号“-”,7
回回--回回回,语法错误，存在无效符号“-”,7
靠ns--[依靠+停靠],语法错误，存在无效符号“-”,7
靠ns--[依靠 停靠],语法错误，存在无效符号“-”,7
，多q--多则,语法错误，存在无效符号“-”,7
不怎么--不怎么样,语法错误，存在无效符号“-”,7
着--睡着,语法错误，存在无效符号“-”,7
随即^^因此,语法错误，存在无效符号“^”,7
了呢--了呢？,语法错误，存在无效符号“-”,7
r+偏偏^^为什么,语法错误，存在无效符号“^”,7
r 偏偏^^为什么,语法错误，存在无效符号“^”,7
回一回--一回一回,语法错误，存在无效符号“-”,7
太好了--w太好了,语法错误，存在无效符号“-”,7
体育^^运动,语法错误，存在无效符号“^”,7
v缓慢了--变得缓慢了,语法错误，存在无效符号“-”,7
v棒了--可棒了,语法错误，存在无效符号“-”,7
那--那个,语法错误，存在无效符号“-”,7
的脸^^丢,语法错误，存在无效符号“^”,7
你一个*！--你一个n,语法错误，存在无效符号“-”,7
一些n^^一些n+w,语法错误，存在无效符号“^”,7
一些n^^一些n w,语法错误，存在无效符号“^”,7
句赞扬--赞扬的话,语法错误，存在无效符号“-”,7
游--游泳,语法错误，存在无效符号“-”,7
挨--挨！,语法错误，存在无效符号“-”,7
洗澡^^洗～澡,语法错误，存在无效符号“^”,7
[n+nr]+v+给+[n+nr]+n--[n nr] n v,语法错误，存在无效符号“-”,7
[n nr] v 给 [n nr] n--[n nr] n v,语法错误，存在无效符号“-”,7
w+f+v+着--w+f+v+着+的,语法错误，存在无效符号“-”,7
w f v 着--w f v 着 的,语法错误，存在无效符号“-”,7
你们一个*。--你们一个n,语法错误，存在无效符号“-”,7
退*的--退[下+出+休+换+化+役+烧],语法错误，存在无效符号“-”,7
退*的--退[下 出 休 换 化 役 烧],语法错误，存在无效符号“-”,7
难道^^……,语法错误，存在无效符号“^”,7
别只看--,语法错误，存在无效符号“-”,7
v过n--没v过,语法错误，存在无效符号“-”,7
你一个*！--你一个n！,语法错误，存在无效符号“-”,7
抹/v--抹茶,语法错误，存在无效符号“-”,7
虽然^^接着,语法错误，存在无效符号“^”,7
俩--技俩,语法错误，存在无效符号“-”,7
太n--太ad,语法错误，存在无效符号“-”,7
v活跃了--开始活跃了,语法错误，存在无效符号“-”,7
闪烁--闪烁的,语法错误，存在无效符号“-”,7
[。+，“+‘]你说，--[。+，“+‘]你说，“,语法错误，存在无效符号“-”,7
[。 ，“ ‘]你说，--[。 ，“ ‘]你说，“,语法错误，存在无效符号“-”,7
咬牙--咬牙切齿,语法错误，存在无效符号“-”,7
他一个*，--他一个n,语法错误，存在无效符号“-”,7
的庆祝--庆祝n,语法错误，存在无效符号“-”,7
洗n澡--热,语法错误，存在无效符号“-”,7
年纪^^我,语法错误，存在无效符号“^”,7
大约实在--十四,语法错误，存在无效符号“-”,7
v杂了--是杂了,语法错误，存在无效符号“-”,7
../a人--人家,语法错误，存在无效符号“-”,7
好像*实在--实在的,语法错误，存在无效符号“-”,7
路^^的路,语法错误，存在无效符号“^”,7
不比--不比不知道,语法错误，存在无效符号“-”,7
似乎会--似乎会、,语法错误，存在无效符号“-”,7
，a的，--亲爱的，,语法错误，存在无效符号“-”,7
倒--倒下,语法错误，存在无效符号“-”,7
上上了--往上上了,语法错误，存在无效符号“-”,7
(a)什么(a){$1=$2;len($1)=1}--,语法错误，存在无效符号“-”,7
v是v--岂止是,语法错误，存在无效符号“-”,7
打/v--打/v+v,语法错误，存在无效符号“-”,7
打/v--打/v v,语法错误，存在无效符号“-”,7
信--相信--短信,语法错误，存在无效符号“-”,7
m指--多次指,语法错误，存在无效符号“-”,7
v骄傲了--值得骄傲了,语法错误，存在无效符号“-”,7
可以讲--w可以讲,语法错误，存在无效符号“-”,7
虽然^^只要,语法错误，存在无效符号“^”,7
m多^^m多,语法错误，存在无效符号“^”,7
进[进+一进]--进进出出,语法错误，存在无效符号“-”,7
进[进 一进]--进进出出,语法错误，存在无效符号“-”,7
刚刚/d+v^^刚刚 ../v,语法错误，存在无效符号“^”,7
刚刚/d v^^刚刚 ../v,语法错误，存在无效符号“^”,7
m粒n--颗粒,语法错误，存在无效符号“-”,7
有市场^^疯狂,语法错误，存在无效符号“^”,7
v到手了--可以到手了,语法错误，存在无效符号“-”,7
[n+nr]+v+给+[n+nr]+n--把+[n+nr],语法错误，存在无效符号“-”,7
[n nr] v 给 [n nr] n--把 [n nr],语法错误，存在无效符号“-”,7
你一个*。--你一个n。,语法错误，存在无效符号“-”,7
也许*难免--难免的,语法错误，存在无效符号“-”,7
把*v--[，。]把,语法错误，存在无效符号“-”,7
白花花--白花花的,语法错误，存在无效符号“-”,7
不V了n--不得不,语法错误，存在无效符号“-”,7
关+u--相关的,语法错误，存在无效符号“-”,7
关 u--相关的,语法错误，存在无效符号“-”,7
萌v^^萌v,语法错误，存在无效符号“^”,7
更+n--更ad,语法错误，存在无效符号“-”,7
更 n--更ad,语法错误，存在无效符号“-”,7
无目标^^漫无目标,语法错误，存在无效符号“^”,7
句反对--反对的,语法错误，存在无效符号“-”,7
月经--m月经,语法错误，存在无效符号“-”,7
大约根本--的根本,语法错误，存在无效符号“-”,7
很+n--很ad,语法错误，存在无效符号“-”,7
很 n--很ad,语法错误，存在无效符号“-”,7
也许*原来--原来的,语法错误，存在无效符号“-”,7
V于^^../v于,语法错误，存在无效符号“^”,7
才/d--只有*才w,语法错误，存在无效符号“-”,7
中枪--手中枪,语法错误，存在无效符号“-”,7
不得--不得不,语法错误，存在无效符号“-”,7
m背--一些背,语法错误，存在无效符号“-”,7
管他^^管他A不A,语法错误，存在无效符号“^”,7
m指n--指数--,语法错误，存在无效符号“-”,7
一定^^一定像,语法错误，存在无效符号“^”,7
务./d^^务必,语法错误，存在无效符号“^”,7
随即^^同时,语法错误，存在无效符号“^”,7
光盘--数据,语法错误，存在无效符号“-”,7
不得不说--我不得不说,语法错误，存在无效符号“-”,7
w我很a+w^^。我很a+w,语法错误，存在无效符号“^”,7
w我很a w^^。我很a w,语法错误，存在无效符号“^”,7
虎--奇虎360,语法错误，存在无效符号“-”,7
[家+房+屋]^^男,语法错误，存在无效符号“^”,7
[家 房 屋]^^男,语法错误，存在无效符号“^”,7
因--因为,语法错误，存在无效符号“-”,7
仿佛*本来--本来的,语法错误，存在无效符号“-”,7
您一个*！--您一个n,语法错误，存在无效符号“-”,7
对*来说--对于,语法错误，存在无效符号“-”,7
m围--三围,语法错误，存在无效符号“-”,7
w什么[v+a+n+r+p]--什么叫,语法错误，存在无效符号“-”,7
w什么[v a n r p]--什么叫,语法错误，存在无效符号“-”,7
冷--冷太太,语法错误，存在无效符号“-”,7
大概*原来--原来的,语法错误，存在无效符号“-”,7
光--V光,语法错误，存在无效符号“-”,7
和--和平,语法错误，存在无效符号“-”,7
大概非v--并非,语法错误，存在无效符号“-”,7
从中--、,语法错误，存在无效符号“-”,7
v合适了--觉得合适了,语法错误，存在无效符号“-”,7
意思--意思w,语法错误，存在无效符号“-”,7
好像^^好像V,语法错误，存在无效符号“^”,7
一群n--一群人,语法错误，存在无效符号“-”,7
a的是^^，a的是,语法错误，存在无效符号“^”,7
v给[y+nr]v--是,语法错误，存在无效符号“-”,7
v给[y nr]v--是,语法错误，存在无效符号“-”,7
这个^^嘛,语法错误，存在无效符号“^”,7
v巧了--是巧了,语法错误，存在无效符号“-”,7
v高企--高企业,语法错误，存在无效符号“-”,7
的庆祝--庆祝[n+nr+ns+nt+r],语法错误，存在无效符号“-”,7
的庆祝--庆祝[n nr ns nt r],语法错误，存在无效符号“-”,7
m+辆+n--[一+两+三+几+百+十]+辆+n,语法错误，存在无效符号“-”,7
m 辆 n--[一 两 三 几 百 十] 辆 n,语法错误，存在无效符号“-”,7
恐怕*绝大--绝大关系,语法错误，存在无效符号“-”,7
上上--上上[下+中+个+上+周+午+百+次+一+学+期],语法错误，存在无效符号“-”,7
上上--上上[下 中 个 上 周 午 百 次 一 学 期],语法错误，存在无效符号“-”,7
固然^^除非,语法错误，存在无效符号“^”,7
不妨说^^我们,语法错误，存在无效符号“^”,7
你一个...，--你一个n,语法错误，存在无效符号“-”,7
怎么--怎么样,语法错误，存在无效符号“-”,7
V个--是个,语法错误，存在无效符号“-”,7
v光滑了--变光滑了,语法错误，存在无效符号“-”,7
很n--很有,语法错误，存在无效符号“-”,7
v皮了--破皮了,语法错误，存在无效符号“-”,7
理论上说--从理论上说,语法错误，存在无效符号“-”,7
一V^^一望,语法错误，存在无效符号“^”,7
矮墩墩--矮墩墩的,语法错误，存在无效符号“-”,7
那又怎么样^^那又怎么样,语法错误，存在无效符号“^”,7
a得像--长得像,语法错误，存在无效符号“-”,7
大概*准v--不准养猪，,语法错误，存在无效符号“-”,7
也许能--也许能够,语法错误，存在无效符号“-”,7
随即^^如果,语法错误，存在无效符号“^”,7
一点n^^一点n+w,语法错误，存在无效符号“^”,7
一点n^^一点n w,语法错误，存在无效符号“^”,7
到底d^^r到底d,语法错误，存在无效符号“^”,7
固然^^只要,语法错误，存在无效符号“^”,7
绿--苏打绿,语法错误，存在无效符号“-”,7
父亲^^父母,语法错误，存在无效符号“^”,7
怎么懂--不怎么懂,语法错误，存在无效符号“-”,7
苟--苟且,语法错误，存在无效符号“-”,7
[婚+姻]^^男,语法错误，存在无效符号“^”,7
[婚 姻]^^男,语法错误，存在无效符号“^”,7
也许可--也许可以,语法错误，存在无效符号“-”,7
w[n+a+v+r+p]什么--有什么,语法错误，存在无效符号“-”,7
w[n a v r p]什么--有什么,语法错误，存在无效符号“-”,7
难道你还^^吗,语法错误，存在无效符号“^”,7
随即^^只要,语法错误，存在无效符号“^”,7
m头--一下头,语法错误，存在无效符号“-”,7
打*n--../v,语法错误，存在无效符号“-”,7
[v+a]着--随着,语法错误，存在无效符号“-”,7
[v a]着--随着,语法错误，存在无效符号“-”,7
新V的--重新,语法错误，存在无效符号“-”,7
完--完全,语法错误，存在无效符号“-”,7
似乎*原来--原来的,语法错误，存在无效符号“-”,7
n+爆w--爆炸+爆发+酱爆,语法错误，存在无效符号“-”,7
n 爆w--爆炸 爆发 酱爆,语法错误，存在无效符号“-”,7
也许*究--究竟,语法错误，存在无效符号“-”,7
一边--另一边,语法错误，存在无效符号“-”,7
一定^^一定多,语法错误，存在无效符号“^”,7
恐怕决不--效果,语法错误，存在无效符号“-”,7
m+面+n--三面环山,语法错误，存在无效符号“-”,7
m 面 n--三面环山,语法错误，存在无效符号“-”,7
上n--以上,语法错误，存在无效符号“-”,7
终./d^^终究,语法错误，存在无效符号“^”,7
i喽--喽啰,语法错误，存在无效符号“-”,7
什么n啊n啊--重复,语法错误，存在无效符号“-”,7
和--,语法错误，存在无效符号“-”,7
说实话^^w说实话,语法错误，存在无效符号“^”,7
最+n--最有,语法错误，存在无效符号“-”,7
最 n--最有,语法错误，存在无效符号“-”,7
v死--要,语法错误，存在无效符号“-”,7
N*有N--v,语法错误，存在无效符号“-”,7
你们一个*，--你们一个n,语法错误，存在无效符号“-”,7
一手--一手抓,语法错误，存在无效符号“-”,7
不n--不鸟,语法错误，存在无效符号“-”,7
一对n--a,语法错误，存在无效符号“-”,7
上[上+一上]--上上[下下+个+上+周+午+百+次+一+学+期],语法错误，存在无效符号“-”,7
